patent_number,title,enhanced_title,novelty,advantage,biology,examples,chemistry,first_publication_date,first_priority_number,first_priority_date,last_change_date,application_number,application_date
WO-2023192390,"Compounds, compositions, and methods","New heterocyclic compounds are NLRP3 inhibitors - useful for treating alzheimer's disease, atherosclerosis, asthma, allergic airway inflammation","New heterocyclic compounds or their salts, isotopically enriched analog, stereoisomer, mixture of stereoisomers, or prodrugs, composition comprising them, their use as NLRP3 inhibitors for treating alzheimer's disease, atherosclerosis, asthma, nonalcoholic fatty liver disease, nonalcoholic steatohepatitis, hypertension, myocardial infarction, multiple sclerosis, and autoimmune encephalitis.",The compounds are potent in their action.,"An in vitro test was conducted in THP-1 cells, to determine the activity of (I). (I) showed an IC50 value of 0.002?M (biological example 1, page 117, table 3).",,"Several compounds including N-(3-cis-hydroxy-3-methylcyclobutyl)-2-[(2's,4r)-2',5-difluoro-6-iodo-1-oxospiro[3H-isoquinoline- 4,1'-cyclopropane]-2-yl]acetamide (compound 5) (I) (table 1, page 27; example 5, page 89; claim 1, page 119). A markush structure is presented (claim 3, page 136).",2023-10-05,US2022325577,2022-03-30,2023-10-19,,
WO-2023191951,Small molecule allosteric modulators of the serotonin (5-HT) 5-HT2c and 5-HT2a receptors,"New substituted carboxamide compounds are 5-HT2c and 5-HT2a receptor modulators - useful for treating substance use disorder, obesity, mood disorder and seizure disorder.","New substituted carboxamide compounds, their salts, 5-HT2c and 5-HT2a receptors modulators for treating substance use disorder, obesity, mood disorder and seizure disorder. Methods for modulating 5-HT2c and 5-HT2a receptors and treating substance use disorder, obesity, mood disorder and seizure disorder comprising the administration of the carboxamide compounds, are also claimed.",The compounds have good pharmacokinetic properties and blood brain barrier crossing efficacy.,"In an in vivo experiment, the T1/2 (in h), Tmax (in h), Cmax (in ng/mL) and AUC0-inf (in ng h/mL) values of intraperitoneal (10 mg/kg) and oral (20 mg/kg) administration of (I) were found to be 2.41 ± 1.73, 0.5, 878 ± 236 and 1885 ± 232; and 2.14 ± 0.18, 0.667 ± 0.289, 181 ± 36, and 615 ± 94 in male Sprague-Dawley rats, respectively (example 8, pages 44-46; table 7).",,"Several compounds including N-(1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl)oleamide (JPC-0323; I) (compound 13, pages 18 and 21; claim 10, page 69) are specifically claimed. Markush structures are presented (claim 1, page 67).",2023-10-05,US2022326600,2022-04-01,2023-11-01,,
WO-2023191425,Electrophysiological screening method for drugs,Method for screening of drugs for increasing brain cortical synaptic plasticity using electrophysiological techniques - useful for treating neurological or neurodegenerative disorders.,"A method for screening a substance that alters the activity of brain cortical synaptic plasticity comprising administering a candidate substance to a non-human animal, cooling the brain by injecting first artificial cerebrospinal fluid at 2 to 5°C into the animal and then separating the brain from the animal, preparing a brain slice containing the cerebral cortex region from the separated brain in first artificial cerebrospinal fluid at 2 to 5°C, culturing the brain slice obtained above step in a second artificial cerebrospinal fluid at 30 to 35°C and recording excitatory postsynaptic currents rom cortical regions of the brain slices in a third artificial cerebrospinal fluid using patch clamps, is claimed. The method, wherein the agent is a candidate drug for the prevention or treatment of neurological or neurodegenerative disorders, is also claimed. A kit for screening a substance, is further claimed.",The screening method effectively selecting candidate drugs for the prevention or treatment of neurological disorders or neurodegenerative disorders.,"An in vivo screening method to confirm whether to confirm whether the selected (I) actually had a therapeutic effect, by performing an active avoidance test in Alzheimer's animal model. Results showed that the experimental group administered (I) had a significant decrease in avoidance time compared to the control group confirmed that (I) had the effect of improving learning ability. (pages 31-33; Figure 7).",,"Seven candidate substances are exemplified including BnH-12001 (I) (table 4, page 24). No compounds are specifically claimed.",2023-10-05,US2022324221,2022-03-28,2023-10-18,,
WO-2023187783,Compounds usable as modulators of PERK activity,"New hydrazone and hidrazine compounds are PERK activators - useful for treating eg cancer, memory deficiency, and viral infection.","New hydrazone and hidrazine compounds, their salts, and their use in treating a medical condition in which activating PERK (eg Huntington's disease, amyloidosis, cataract, type II diabetes, cancer, memory deficiency, and viral infection) is beneficial are claimed",The compounds exhibit decreased lipophilicity and improved solubility compared to MK-28.,"An in vitro test was performed to determine the effect of (I) on PERK activation using HEK293 cells. Results revealed that (I) at 5?M caused about a 70 % increase in eIF2a phosphorylation relative to total eIF2a, compared to MK-28, which caused 30 % to 50 % with 5-20 ?M MK-28 (exaple 4, page 79; figures 3A-B). Also, an in vitro protocol was presented to determine the antiviral activity of test compounds using viral-infected cells eg HEK293 cells (example 5, pages 80-81).",,"4-((2-(4,6-diphenylpyrimidin-2-yl)hydrazono)methyl)benzene-1,2-diol (I; E-isomer drawn) (GLB-7, page 14) is exemplified. No compounds are specifically claimed. A Markush structure is presented (claim 1, page 81).",2023-10-05,US2022324977,2022-03-29,2023-10-16,,
WO-2023187762,Co-crystals of vortioxetine hydrobromide,New co-crystalline polymorphic forms of vortioxetine hydrobromide and a co-former eg resveratrol and its preparation method - useful for treating major depressive disorder.,"New co-crystalline polymorphic forms (designated as forms M1 to M9) of vortioxetine hydrobromide and a co-former (eg resveratrol, piceatannol, gallic acid, protocatechuic acid and/or salicylic acid) and compositions comprising them are claimed. Also claimed is a process for preparing the co-crystals comprising the dissolution of vortioxetine hydrobromide free base in a solvent and mixing it with the co-former, followed by isolation. Vortioxetine hydrobromide is known to be an antagonist of 5-HT 1d, 5-HT 3, and 5-HT 7 receptor and an inhibitor of serotonin transporter and 5-HT uptake and an agonist of 5-HT 1a receptor and a partial agonist of 5-HT 1b receptor, useful for treating major depressive disorder. Vortioxetine is known from WO03029232.",No specific advantage is given.,No biological data are presented.,"Free base of (I) (166.04 mg) and resveratrol (50 mg) were taken into a mortar pestle and grinded by adding methanol drops for 20 min and was dissolved in methanol (4 mL), filtered and the filtrate was kept for slow solvent evaporation to obtain form M3 of (I) (example 1, page 18; figure 1).","Several co-crystals of 1-(2-(2,4-dimethyl-phenylsulfanyl)-phenyl)piperazine hydrobromide is (formula I; also known as vortioxetine hydrobromide), including its cocrystal with resveratrol (I) (pages 1 and 18; claim 1, page 22) are specifically claimed.",2023-10-05,IN202241019890,2022-04-01,2023-10-18,,
WO-2023187677,N -(Pyrrolidin-3-yl or piperidin-4-yl)acetamide derivatives,"New substituted N-(pyrrolidin-3-yl or piperidin-4-yl)acetamide derivatives are SSTR4 agonists - useful for treating eg anxiety, schizophrenia, and bipolar disorder.","New substituted N-(pyrrolidin-3-yl or piperidin-4-yl)acetamide derivatives, their salts, compositions comprising them, and their use in treating eg Alzheimer's disease, depression, anxiety, schizophrenia, bipolar disorder, autism, epilepsy, pain, and hyperactivity disorder. are claimed. It is also claimed that the compounds may be administered in combinaion with other active agents. The compounds are disclosed to act as SSTR4 agonists.",No specific advantage is given.,"An in vitro test was performed to determine the activity of test compounds towards SSTR4, by measuring the inhibition of forskolin stimulated cAMP in cells overexpressing SSTR4. (I) showed an pEC50 of 8.95 towards SSTR4 (pages 98-101; table 1).",,"Several compounds including 2,2-difluoro-N-((3S,4S)-3-methylpiperidin-4-yl)-2-(m-tolyloxy)acetamide (I) (example 57, page 88; claim 28, page 109) are specifically claimed. A markush structure is presented (claim 1, page 102).",2023-10-05,US2022325452,2022-03-30,2023-10-18,,
WO-2023187182,"Pyrazolopyrazinone compounds, process for their preparation and therapeutic uses thereof","New pyrazolopyrazinone compounds are cysteine glutamate transporter inhibitors - useful for treating eg Alzheimer's disease, multiple sclerosis, HIV-related dementia and cancers.","New pyrazolopyrazinone compounds or their salts, compositions comprising them, process for their preparation and their use as xCT (cystine/glutamate transporter inhibitor) for treating eg Alzheimer's disease, Parkinson's disease, multiple sclerosis, HIV-related dementia, small cell lung cancer, Hodgkin lymphoma, hepatocellular carcinoma, liver cancer, ovarian cancer and stomach adenocarcinoma, are claimed.",The compounds specifically inhibit xCT exchanger.,An in vivo test was performed to evaluate the tolerability of the compounds using non-tumor bearing SCID mice and (I) (administered at a dose of 30 and 100 mg/kg twice a day for 5 consecutive days exhibited moderate body weight loss of >15% for 3 consecutive days and >20% when compared to vehicle control and further the mice recovered when the treatment was stopped (pages 77-79; table 4).,,"Several compounds including 3-cyclopropyl-5-(3-methylpyridin-2-ylmethyl)-4-oxo-4,5,6,7-tetrahydropyrazolo[1,5-a]pyrazine-2-carboxylic acid (5-difluoromethyl[1,3,4]thiadiazol-2-yl)amide (I; compound 32) are specifically claimed (example 2, page 34; table 1, pages 49 and 53; claim 10, page 87). A Markush structure is presented (claim 1, page 82).",2023-10-05,EP2022305433,2022-04-01,2023-10-16,,
WO-2023186834,Crystalline hydrobromide salt of 5-meo-dmt,"Novel crystalline hydrobromide salt of 5-methoxy-N,N-dimethyltryptamine - useful for treating mental disorders.","Novel crystalline hydrobromide salt of 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT (was first isolated from the bark of Dictyoloma incanescens) HBr; previously disclosed in WO2020169850), processes for their preparation and compositions comprising them are claimed. 5-MeO-DMT is a naturally occurring serotonergic psychedelic tryptamine which acts as a 5-HT1A and 5-HT2A receptor agonist, useful for treating major depressive disorder, persistent depressive disorder, anxiety disorder, posttraumatic stress disorder, body dysmorphic disorder, obsessive-compulsive disorder, eating disorder and psychoactive substance abuse.","The crystalline forms of compounds are stated to be more stable, soluble, and low hygroscopic nature.",No biological data are presented.,"Free base of (I) (50 mg) was dissolved in IPA and heated at 50 °C, followed by addition of HBr and the solution was held at temperature and equilibrated for 3 h and then cooled at RT and equilibrated for 18 h and no precipitation was observed, after reduction of the solvent and then treated with anti-solvent. The resulting solid was filtered, washed, and dried in vacuo at 40 °C for 18 h to yield crystalline form of (I) (example 2, page 11). Also, (I) was found to be more stable at 40 °C/75% RH for 5 days (example 9, page 15).","Hydrobromide salt of 5-methoxy-N,N-dimethyltryptamine (5-MeO-DMT HBr) is (I) (claim 1, page 20).",2023-10-05,EP202281,2022-03-27,2023-10-18,,
WO-2023186294,"New forms of N-(5-((6,7-dimethoxyquinolin-4-yl)oxy)pyridin-2-yl)-1-propyl-4-(2,2,2-trifluoroethoxy)-1H-pyrazole-3-carboxamide hydrochloride","New crystalline forms of adrixetinib hydrochloride - useful for treating hyperproliferative disorders, inflammatory disorders, and neurodegenerative disorders.","New crystalline forms of adrixetinib hydrochloride (designated as Form A; previously disclosed in WO2019229251), processes for their preparation, compositions and combinations comprising them are claimed. Also claimed are their use for treating hyperproliferative disorders (eg rectal tumor, renal cell carcinoma, and prostate tumor), inflammatory disorders (eg inflammatory bowel disease, osteoarthritis, ulcerative colitis, and transplant rejection) and neurodegenerative disorders (eg Alzheimer's disease, Parkinson's disease, dementia). Adrixetinib is known to be an inhibitor of Axl/Mer receptor tyrosine kinase and CSF1R.","The crystalline forms of compounds are stated to be more stable, soluble, and hygroscopic nature.",No biological data are presented.,"Free base of (I) (10.0 g) was dissolved in acetone and HCl solution, to prepare a slurry of free base of (I) in acetone and HCl/water, after filtration and dried to yield crystalline Form A of (I). Also, (I) was found to be more stable at 25 °C/60% RH and 40 °C/75% RH for 15 days, 6, 12, and 24 months (pages 34-37; table 28).","N-(5-((6,7-Dimethoxyquinolin-4-yl)oxy)pyridin-2-yl)-1-propyl-4-(2,2,2-trifluoroethoxy)-1H-pyrazole-3-carboxamide (Q702) hydrochloride (also known as adrixetinib hydrochloride; Q702 hydrochloride) is (I) (pages 1-2; example 1, page 12; claim 1, page 42).",2023-10-05,WO2022EP58450,2022-03-30,2023-10-16,,
WO-2023186023,"N-Substituted quinolinone compound, preparation method therefor and use thereof","New N-substituted quinolinone compounds are 5-HT 1A and D 3 agonists, and D 2l and 5HT 2A antagonists - useful for treating schizophrenia, anorexia nervosa, sleep disorders, and cognitive disorders.","New N-substituted quinolinone compounds, their salts, solvates, stereoisomers, geometric isomers, isotopes, prodrugs, compositions comprising them, a process for their preparation, and their use for treating schizophrenia, mood disorders, post-traumatic stress disorder, anxiety disorders, Parkinson's disease, Huntington's disease, Alzheimer's disease, anorexia nervosa, sleep disorders, and cognitive disorders, are claimed. The compounds are disclosed to act as agonists of 5-HT1A and dopamine D3 receptor, antagonists of D2L, and 5-HT2A receptor, and inhibitors of 5-HT transporter (SERT) and hERG potassium channel.","The compounds have good metabolic stability, pharmacokinetic properties, and reduced cardiotoxicity.","An in vivo experiment was carried out to estimate the efficacy of the test compounds in male SD rats. intramuscularly administered (I) (43.3 m mol/kg) showed slow release, reduced blood concentration fluctuations, and improved safety and tolerances (figs 1 and 2; page 67). Further, in an in vitro assay, the EC50 values (in nM) of (I) and dopamine against CHO cells expressing dopamine D3 were found to be 7.1 and 1, respectively (page 63; table 3).",,"Several compounds including 7-(2-(4-(6-fluoro-benzo[b]thiophene-4-yl)piperazin-1-yl)ethyl)-1-(hydroxymethyl)-3,4-dihydroquinolin-2(1H)-one (I) (compound 1, example 1, page 39; claim 10, page 73) are specifically claimed. A markush structure is presented (claim 1, page 68).",2023-10-05,CN202210333341,2022-03-30,2023-10-31,,
WO-2023185704,"Isoxazole-heterocyclic derivative, pharmaceutical composition and use","Isoxazole-heterocyclic derivatives are ?5-GABA A receptor modulators - useful for treating ?5-GABA A receptor-related diseases such as depression, pain, alzheimer's disease, stroke, anxiety disorder, generalized anxiety disorder, schizophrenia, obesity, epilepsy and mood disorders.","New substituted isoxazole-heterocyclic derivative, stereoisomers, tautomers, progenitor drugs, pharmaceutically acceptable salts, amorphous substances, isotopes, polymorphs or solvents, compositions comprising them and their use in the preparation of treatment or prophylaxis with ?5-GABA A receptor-related diseases such as depression, pain, alzheimer's disease, stroke, anxiety disorder, generalized anxiety disorder, schizophrenia, obesity, epilepsy and mood disorders. The compounds are known to act as 5-GABA A receptor modulators.",The compounds selectively target ?5-GABA A.,"An in vitro assay was conducted to evaluate activity of (I) on ?5?3?2-HEK293 and ?2?3?2-HEK293 cells. Results showed that ?5-GABA A affinity activity of (I) was 103.19 nM, suggested that (I) has good affinity activity and reverse regulatory activity (page 45-50; table 1, page 45-50).",,"Several compounds including compound 6 (I) (page 46; claim 15, page 61) are claimed for use. A markush structure is presented (claim 1, page 59).",2023-10-05,CN202210312824,2022-03-28,2023-10-24,,
WO-2023196900,"Solid forms, pharmaceutical compositions and preparation of heteroaromatic macrocyclic ether compounds",Novel solid and crystalline forms comprising heteroaromatic macrocyclic ether compounds - useful for treating cancers.,"Novel solid and crystalline forms comprising heteroaromatic macrocyclic ether compounds and their salts (eg hydrochloric acid), processes for their preparation and compositions comprising them are claimed. Also claimed are their use for treating cancers. Further claimed is a process for preparing Form 2 of a compound I, comprising the steps of dissolving the compound I in a solvent, followed by adding an anti-solvent, and recovering said Form 2.","The crystalline forms of compounds are stated to be more stable, soluble, and hygroscopic nature.",No biological data are presented.,"The synthesis of (II) via intermediate (I) is described (examples 1 and 2, pages 160-170).","Compound of formula III is (I) (claim 177, pages 212 and 213). Compound of formula I is (II) (claim 1, page 197).",2023-10-12,US2022328609; US2022328620,2022-04-07,2023-11-08,,
WO-2023196601,Oxadiazole HDAC6 inhibitors and uses thereof,New substituted oxadiazoles are HDAC6 inhibitors - useful for treating amyotrophic lateral sclerosis.,"New substituted oxadiazoles, their salts, compositions comprising them, and their use in impairing microtubule function by deacetylating tubulin and treatment of a neurological disorder eg amyotrophic lateral sclerosis are claimed. The compounds are disclosed to act as histone deacetylase-6 inhibitors.",No specific advantage is given,"An in vitro test was performed to determine the inhibitory activity of test compounds, using fluorescence detection. (I) showed an IC50 of 0.001-0.1 ?M (pages 167-173).",,"Several compounds including 2-(difluoromethyl)-5-(5-fluoro-6-(((2-methyl-2H-indazol-5-yl)oxy)methyl)pyridin-3-yl)-1,3,4-oxadiazole (I) (compound 178, page 143; claim 18, page 182) are specifically claimed. A Markush structure is presented (claim 1, page 175).",2023-10-12,US2022329143,2022-04-08,2023-10-25,,
WO-2023194964,Fused pyridazine derivatives as NLRP3 inhibitors,New fused pyridazine derivatives are NLRP3 inhibitors - useful for treating neurodegenrative disorders.,"New heterocyclic compounds or their salts, composition comprising them, their use as NLRP3 inflammasome for treating Parkinson's disease, Alzheimer's disease, Huntington's disease, amyotrophic lateral sclerosis and prion disease are claimed.",The compounds are potent in their action.,"An in vitro test was conducted in biological assay (IL-1?, TNF-? and MDCK-MDR1) to determine the activity of the test compounds. (I) showed an IC50 value of 2nM, >30000nM, 21nm/s and 9 against IL-1?, TNF-? MDR1 P A-B APP and MDR1 ER respectively (page 251, table 5)",,"Several compounds including 5-chloro-2-(4-(((3R,5R)-5-fluoro-1-methylpiperidin-3-yl)amino)-7,8-dihydro-5H-pyrano[3,4-d]pyridazin-1-yl)phenol (I; example 212, page 231, claim 25, page 269) are specifically claimed. A Markush structure is presented (claim 1, page 260).",2023-10-12,US2022328709,2022-04-07,2023-11-08,,
WO-2023194458,"N-(3-(Benzo[b]thiophene-2-carboxamido)-phenyl)-2,3-dihydrobenzo[b][1,4]dioxine-6-carboxamide derivatives and related compounds as lactate/ATP production inhibitors for the treatment of cancer","New substituted N-(3-(benzo[b]thiophene-2-carboxamido)-phenyl)-2,3-dihydrobenzo[b][1,4]dioxine-6-carboxamide derivatives are lactate/ATP production inhibitors - useful for treating cancers, neurodegenerative diseases and metabolic diseases.","New substituted N-(3-(benzo[b]thiophene-2-carboxamido)-phenyl)-2,3-dihydrobenzo[b][1,4]dioxine-6-carboxamide derivatives, their salts, enantiomer, diastereomer, N-oxide, solvate, compositions, combinations comprising them, and their use for treating a disease or condition mediated by the lactate/ATP mechanism and autophagy-related diseases such as cancer (eg stomach cancer, pancreatic cancer), neurodegenerative diseases such as Parkinson's disease, Alzheimer's disease and Huntington's disease, metabolic disorders such as obesity and diabetes type I and II, viral infections and diseases which lead to accumulation of certain debris particles such as fibrotic lung diseases are claimed. The compounds are known to act as lactate/ATP production inhibitors.","The compounds potently lower lactate production, and thus can be suitably co-administered with a biguanide drug to achieve otherwise unattainable biguanide levels in vivo.","An in vitro assay was conducted to evaluate activity of (I) on HeLa, 4T1 , LLC1 , A549, MDA-MB-231 and MiaPaCa2 cells. Results showed that when treated with (I), IC50 value was found to be < 100 nM (page 153-159; table 1, page 155-158).",,"Several compounds including ex 1 (I; N-(3-(Benzo[b]thiophene-2-carboxamido)-4-methylphenyl)-2,3-dihydrobenzo[b][1,4]dioxine-6-carboxamide) (example 1, page 92; claim 9, page 167) are claimed for use. A Markush structure is presented (claim 1, page 162). Sequences provided in source document.",2023-10-12,EP2022166685,2022-04-05,2023-11-01,,
WO-2023205404,Biosynthesis of cyclolavandulyl derivatives of aromatic compounds,"New cyclolavandulyl derivatives of aromatic compounds and processes for their preparation - useful for treating emesis, convulsions, pain and depression.","New cyclolavandulyl-substituted derivatives of aromatic compounds such as cannabinoids, flavonoids, and alkaloids are claimed. Also claimed is a biochemical process for preparing cyclolavandulyl-substituted aromatic compounds such as cannabinoids, flavonoids, and alkaloids comprising the reaction of a prenyltransferase (eg NphB), a cyclolavandulyl pyrophosphate as a donor and an aromatic compound (eg cannabinoid precursor) and finally recovering. Also claimed is a process for preparing the decarboxylated cyclolavandulyl-substituted aromatic compounds. Further claimed is a composition comprising a cyclolavandulyl diphosphate synthase, dimethylallyl pyrophosphate, a prenyltransferase, and an aromatic compound (eg a cannabinoid precursor such as divarinic acid, olivetolic acid and phorolic acid). The cyclolavandulyl compounds might have the same applicability of cannabinoids that are disclosed to be useful in modulating cannabinoid receptors (CB1 and CB2) and act as antiemetics, anticonvulsants, analgesics, and antidepressants.",No specific advantage is given.,No biological data are presented.,"The synthesis of (II) via a cell-free biosynthesis reaction using (I) and a recombinantly produced cyclolavandulyl diphosphate synthase from Streptomyces sp. CL190 and the recombinant prenyltransferase, NphB is described (example 1, pages 57-58; figures 3-4).","Three precursors, including 2,4-dihydroxy-6-pentylbenzoic acid (I) (olivetolic acid; OA; table 2, page 26; claim 40, page 96) are specifically claimed. Several cyclolavandulyl-substituted aromatic compounds, including cannabicyclolavolic acid (II) (CBCLA or compound (2a) or forward C-cyclolavandulylatedolivetolic acid, table 3, page 27; example 1, page 57; claim 6, page 79) are specifically claimed. Markush structures are presented (claims 1 and 2, pages 77-78). Sequences provided in source document.",2023-10-26,US2022333670,2022-04-22,2023-11-08,,
WO-2023205801,Steroidal compositions and methods of treating lipogenic cancers,"New steroidal compounds are inhibitors of SREBP-1 and/or SREBP-2 and LXR? agonists - useful for treating eg infections, cancers and neurological diseases.","New steroidal compounds or their salts or stereoisomers, compositions comprising them and their use as for the manufacture of medicament, are claimed. It is disclosed that the compounds act as inhibitors of SREBP-1 and/or SREBP-2 and and are useful for treating eg aging, Alzheimer's disease, asthma, atherosclerosis, hepatitis C virus infection, hyperglycemia, hypertension, inflammation, multiple sclerosis, obesity and diabetes, are claimed.","The compounds have good therapeutic effect and also reduce tumor viability, cell growth, cell size and migration.","In vivo tests for evaluating the compounds are described, however, no resultant data are provided (pages 1094-1096). Further, in vitro tests were also performed to evaluate their inhibitory effect on SREBP-2 and on LXR? activity and (I) was found to exhibit IC50 of <1 to 250 nM against both cases (pages 1096-1121; table 1).",,"Several compounds including (R)-N-ethoxy-4-((3S,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)-N-methylpentanamide (I) are specifically claimed (example 10, compound 10, page 68; table 1, page 1097; claim 14, page 1148). A Markush structure is presented (claim 1, page 1126). Sequences provided in source document.",2023-10-26,US2022363399,2022-04-22,2023-11-07,,
WO-2023205415,Transcription factor EB activators and uses thereof,"New substituted naphthyridine-3-carboxamide derivatives are transcription factor EB activators - useful for treating eg Gaucher disease, polymyositis, Parkinson's and Lewy body dementia.","New substituted naphthyridine-3-carboxamide derivatives or their salts, compositions comprising them and their use as transcription factor EB activators for treating eg Gaucher disease, Pompe disease, Niemann-Pick disease, bacterial infection, polymyositis, Parkinson's, Lewy body dementia, kidney interstitial fibrosis, ?-thalassemia and macular degeneration, are claimed.",The compounds exhibit better potency and/or lower in vitro clearance.,An in vitro TFEB-translocation assay was performed to evaluate the effect of the compounds using HEK-293T-oEX-TFEB-GFP cell line and (I) showed EC50 of <0.1 µM (pages 124-132; table 1).,,"Several compounds including 6-benzyl-2-methyl-N-((5-methylfuran-2-yl)methyl)-5-oxo-5,6-dihydro-1,6-naphthyridine-3-carboxamide (I) are specifically claimed (example 1, page 32; claim 19, page 140). A Markush structure is presented (claim 20, page 145).",2023-10-26,US2022333669,2022-04-22,2023-11-08,,
WO-2023205251,Compounds active towards bromodomains,"New substituted dihydropyrrolo[3,4-b]pyridine compounds are BRD-4 inhibitors - useful for treating eg rheumatoid arthritis, multiple sclerosis, and atherosclerosis.","New substituted dihydropyrrolo[3,4-b]pyridine compounds, their salts, polymorphs, stereoisomers, and tautomers, compositions comprising them, and their use in treating eg rheumatoid arthritis, multiple sclerosis, atherosclerosis, Alzheimer's disease, depression, malaria, type I diabetes, sepsis, lung fibrosis, and glioblastoma multiforme are claimed. The compounds are disclosed to act as BRD-4 inhibitors.",The compounds are selective bromodomain inhibitors with improved tolerability and without potential cardiovascular side effects by inhibition of phosphodiesterase 3.,"A radiometric PDE3A assay was performed to determine the inhibitory activity of test compounds towards BRD4. (I) showed a Kd of 0.006 ?M (pages 145-148). Also, an in vivo protcol was presented to determine the efficacy of test compounds in mice eg MC903 murine model (pages 148-149).",,"Several compounds including 2-(8-azabicyclo[3.2.1]octan-8-yl)-N-(8-methoxy-4-methyl-2-oxo-1H-quinolin-6-yl)-5,7-dihydrofuro[3,4-b]pyridine-3-carboxamide (I) (example 21, page 109; claim 33, page 158) are specifically claimed. A markush structure is presented (claim 1, page 150).",2023-10-26,SE202250473,2022-04-19,2023-11-07,,
WO-2023205188,Potent and selective HDAC6 macrocyclic inhibitors,"New substituted macrocyclic oligoamides are HDAC6 macrocyclic inhibitors - useful for treating eg neurodegenerative disorder, cancer and heart disease.","New substituted macrocyclic oligoamides, their salts, compositions comprising them, and their use in treating a disease i.e neurodegenerative disorder (eg Alzheimer's disease, Parkinson's disease, and Huntington's disease), cancer (eg multiple myeloma, pancreatic cancer, ovarian cancer, breast cancer, and esophageal cancer), heart disease (eg myocardial infarction, and congestive heart failure) that is ameliorated by the inhibition of histone deacetylase 6 are claimed.",The compounds are potent and selective towards HDAC6.,An in vitro test was perfromed to determine the selectivity of test compounds towards HDAC6. (I) showed an IC50 of 1.3nM towards HDAC6 (page 23; table 1).,,"Several compounds including (12R,31S,10S)-10-(5-mercaptopentyl)-31,32,33,34-tetrahydro-8, 11-diaza-3(1,2)-isoquinolina-1(1,2)-pyrrolidina-6(1,3)-benzenacyclododecaphane-2,4,9,12-tetraone (I) (aaap-HDAC-3, page 30; claim 28, page 47) are specifically claimed. A Markush structure is presented (claim 1, page 41).",2023-10-26,US2022333077,2022-04-20,2023-11-08,,
WO-2023205173,Substituted piperidines and substituted tetrahydropyridines as immune-modulating compounds,"New substituted piperidines and substituted tetrahydropyridine derivatives are QPCTL inhibitors - useful for treating diseases including rheumatoid arthritis, multiple sclerosis and atherosclerosis.","New substituted piperidines and substituted tetrahydropyridine derivatives, their salts, solvates, and compositions comprising them, are claimed. The compounds are claimed to act as QPCTL (glutaminyl- peptide cyclotransferase-like) inhibitors useful for treating diseases including rheumatoid arthritis, inflammatory bowel disease, multiple sclerosis, psoriasis, atherosclerosis, pulmonary arterial hypertension, Alzheimer's disease, Parkinson's disease, leukemia and lymphoma.",No specific advantage is given.,"An in vitro assay was carried out to estimate the QPCTL inhibitory activity of the test compounds using 5K A549 cells. Several compounds including (I) exhibited an EC50 value of < 1 uM against 5K A549 cells (example B1, pages 160-162; table A).",,"Several compounds 5-(1-(2-fluoro-5-(6-fluoropyridin-3-yl)pyrimidin-4-yl)piperidin-4-yl)-4-methyl-4H-1,2,4-triazol-3-amine (I) (compound 60, example 13, page 157; claim 109, page 199) are specifically claimed. Markush structure is presented (claim 1, page 163).",2023-10-26,US2022333044,2022-04-20,2023-11-08,,
WO-2023205116,Pyridine derivatives for treating psychiatric disorders,Novel substituted aminoalkyl pyridine derivatives are 5-HT2A receptor activators - useful for treating psychiatric disorders.,"Novel substituted aminoalkyl pyridine derivatives or its salts, compositions comprising them and their use for treating a psychiatric disorder including a depressive disorder, an anxiety disorder or substance use disorder, is claimed. A method for activating a 5-HT2A receptor in a cell comprising administering an effective amount of a compound, is also claimed. The compounds are stated to act as 5-HT2A receptor activators.",The compounds are safe and show efficient therapeutic action.,"An in vivo test was performed to determine the ability of compounds to induce a head twitch response (HTR) in mice using an automated video tracking procedure. (I) showed more efficacious at inducing HTR than its pyridine counterpart Compound 29 with an ED50 (mg/kg) and Emax value of (HTR counts/20 min) value of 0.972 and 48.79 respectively (Example 43, page 164-169; table 5).",,"Several compounds including compound 36 (I) (claim 15, page 176) are specifically claimed. An Hydrochloride salt of (I) is given as 2-(3,6-dimethoxy-5-propylpyridin-2-yl)ethan-1-amine hydrochloride (compound 36, example 36, page 149). A Markush structure is presented (claim 1, page 168).",2023-10-26,US2022332324,2022-04-19,2023-11-09,,
