mechanism_id,name,action_type,target_id
mechanism_nad-dependent_deacetylase_sirtuin-2_modulator,NAD-dependent deacetylase sirtuin-2 modulator,modulator,target_nad-dependent_deacetylase_sirtuin-2
mechanism_histone_deacetylase_modulator,Histone deacetylase modulator,modulator,target_histone_deacetylase
mechanism_pyruvate_dehydrogenase_modulator,Pyruvate dehydrogenase modulator,modulator,target_pyruvate_dehydrogenase
mechanism_muscarinic_m5_receptor_antagonist_antagonist_agonist,Muscarinic M5 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_muscarinic_m5
mechanism_rac1_gtpase_inhibitor,RAC1 GTPase inhibitor,inhibitor,target_rac1_gtpase
mechanism_n-ras_gtpase_inhibitor,N-Ras GTPase inhibitor,inhibitor,target_n-ras_gtpase
mechanism_map_kinase_inhibitor_inhibitor,MAP kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_map
mechanism_rho_associated_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,Rho associated protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_rho_associated
mechanism_akt_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,AKT protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_akt
mechanism_il-6_receptor_antagonist_antagonist_agonist,IL-6 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_il-6
mechanism_serine_racemase_inhibitor,Serine racemase inhibitor,inhibitor,target_serine_racemase
mechanism_mtor_stimulator,mTOR stimulator,stimulator,target_mtor
mechanism_nicotinic_acetylcholine_receptor_antagonist_antagonist_agonist,Nicotinic acetylcholine receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_nicotinic_acetylcholine
mechanism_nmda_receptor_antagonist_antagonist_agonist,NMDA receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_nmda
mechanism_mtor_modulator,mTOR modulator,modulator,target_mtor
mechanism_nlrp3_inhibitor,NLRP3 inflammasome inhibitor,inhibitor,target_nlrp3
mechanism_il18_antagonist_agonist,IL18 antagonist;agonist,antagonist;agonist,target_il18
mechanism_il1b_ligand_inhibitor_inhibitor,IL1B ligand inhibitor;inhibitor,ligand inhibitor;inhibitor,target_il1b
mechanism_sortilin_related_receptor_modulator,Sortilin related receptor modulator,modulator,target_sortilin_related_receptor
mechanism_sorl1_gene_modulator_modulator,SORL1 gene modulator;modulator,gene modulator;modulator,target_sorl1
mechanism_neuritin_stimulator,Neuritin stimulator,stimulator,target_neuritin
mechanism_guanylate_cyclase_receptor_agonist_agonist,Guanylate cyclase receptor agonist;agonist,receptor agonist;agonist,target_guanylate_cyclase
